    year    old bailey
0   1850  1.012867e-10
1   1851  8.102936e-11
2   1852  6.752447e-11
3   1853  5.787811e-11
4   1854  4.817793e-11
5   1855  4.817793e-11
6   1856  4.817793e-11
7   1857  4.817793e-11
8   1858  5.620759e-11
9   1859  6.744911e-11
10  1860  8.431138e-11
    year    old bailey
0   1850  1.012867e-10
1   1851  8.102936e-11
2   1852  6.752447e-11
3   1853  5.787811e-11
4   1854  4.817793e-11
5   1855  4.817793e-11
6   1856  4.817793e-11
7   1857  4.817793e-11
8   1858  5.620759e-11
9   1859  6.744911e-11
10  1860  8.431138e-11
